	Activated CD8 T cell	Central memory CD8 T cell	Effector memeory CD8 T cell	Activated CD4 T cell	Central memory CD4 T cell	Effector memeory CD4 T cell	T follicular helper cell	Gamma delta T cell	Type 1 T helper cell	Type 17 T helper cell	Type 2 T helper cell	Regulatory T cell	Activated B cell	Immature  B cell	Memory B cell	Natural killer cell	CD56bright natural killer cell	CD56dim natural killer cell	Myeloid derived suppressor cell	Natural killer T cell	Activated dendritic cell	Plasmacytoid dendritic cell	Immature dendritic cell	Macrophage	Eosinophil	Mast cell	Monocyte	Neutrophil
TCGA-55-8505-01	0.240956778567741	0.258337352082793	0.160273521200265	0.0773972000935885	0.421016454622472	0.0450732277849013	-0.0126654299709281	0.233531073458243	0.0478935872373131	-0.130429215881849	0.0966474898632518	0.00522434978489753	-0.323740650971936	-0.295926370394086	-0.0910285468209407	0.158528751600571	0.0384518346869046	0.113681949943441	0.237313959051216	0.0952856354749935	0.404107923342253	0.353589917849807	0.196407613807799	0.0450604408198021	-0.312294945977015	0.0686789887302901	0.369441626080044	-0.0796577038326071
TCGA-55-8506-01	0.29638224230827	0.283297154366722	0.0437318670072291	0.0855504504678189	0.440377239384567	-0.00423930609312995	0.107464698485123	0.338505415229057	0.0593546920818544	-0.00366669780144257	0.0107143564752988	0.0274606705101259	-0.286169709925645	-0.450088057689511	-0.0765559208091544	0.157932860025046	0.0891738991135346	-0.0198741923644226	0.292010450999653	0.0762736831771453	0.365199001041313	0.35185286980662	0.275777671382894	0.101233299264298	-0.353971100299057	0.00509856215258837	0.407027547043673	-0.0218341318367183
TCGA-55-8507-01	0.24341656188983	0.0991260991151869	0.0397195249723049	-0.00631863754778122	0.448129323177084	-0.0215724208604952	0.0350971933718154	0.2806536432649	0.0215579554309237	-0.0998923103577802	0.0363525620194164	0.00895732845939942	-0.332735750286375	-0.332392164000691	-0.0742831797715833	0.163827345089891	0.0768103453699288	0.106010084174076	0.312148385939956	0.0436647957246344	0.438666783872724	0.288687555615789	0.264690242300649	0.117912867803651	-0.368222419533764	0.0274093244302102	0.359868501658052	-0.129183550185796
TCGA-55-8620-01	0.304758032754921	0.10474442028228	0.00664629221013307	0.0997597664158091	0.370782478158099	0.0553983931920521	-0.0278524939531428	0.236630110009527	-0.0185236927781502	-0.117253246010597	0.0572650204156718	-0.111534179138064	-0.217414995076199	-0.438675104233616	-0.0718102329735465	0.101209521351221	0.0668900585307127	0.183193384457983	0.166311304808125	0.0362978339843374	0.238099613657243	0.310657511680403	0.193910891174292	0.060687197532024	-0.341549988816006	-0.0574891736920454	0.342271729261985	-0.253191039716593
TCGA-55-A494-01	0.218677587425346	0.123626343861118	0.0569698082637084	0.0174783196596602	0.42915906822817	-0.00439092109129262	0.0439184816713538	0.317108541601876	-0.0524614181634242	-0.0631170002471406	-0.0118835228823643	-0.101225550453908	-0.375583521462742	-0.412402229741328	-0.078744875006733	0.0986370612421964	0.123685733126174	0.0435492090939818	0.173673703906011	0.0320992798930495	0.41026158572438	0.280917451806504	0.279180354205668	0.00976976401909568	-0.365698835005123	-0.0223114031615162	0.366248650232358	-0.0980000388288746
TCGA-62-8394-01	0.185218280146638	0.17422102399407	0.125508333190221	0.032708975304454	0.461027891861427	-0.0547380260189154	0.0897974487040021	0.350151374804039	0.0247442105240184	0.0296558318234072	-0.0497723893449582	0.0189234097287619	-0.349677858199445	-0.407629987208965	-0.0943608451801522	0.193536943102915	0.0918047734232178	0.0859308173970216	0.241385869079132	0.0774344858555738	0.437163212125485	0.356448111959062	0.324660258621517	0.0329720153195577	-0.327590059953447	-0.0456002678519798	0.351575232580169	-0.116562686234738
TCGA-62-8395-01	0.213020022098259	0.240281405415071	0.147157366726774	-0.0100278443837615	0.493050440871236	-0.0342083340962771	0.0994332859314291	0.30269449487641	0.0609058797247647	-0.00663117614511402	0.0180600680135091	0.04488275550172	-0.303389454791202	-0.301258908096929	-0.154411813395731	0.195170723411842	0.0885506295078799	0.0546786067203804	0.287097959379492	0.0698943551529832	0.46121615774477	0.371617029727951	0.297379234350208	0.139148549780394	-0.302852258937141	0.0392199748001663	0.378670570139004	-0.0797826330188491
TCGA-62-8398-01	0.289229883488287	0.228617748878661	0.0179395199521683	0.0910300989680821	0.419293265965979	-0.0112014366985894	0.0388731999991949	0.279351499984761	0.053757461902947	-0.100927395925187	0.0792018293275633	-0.0618433812950972	-0.306506200934671	-0.401801462586161	-0.12904759686356	0.147302611899373	0.12148555667207	0.158629787863548	0.326498600833395	0.0399972117472861	0.409133048475314	0.25465170341747	0.262557361236677	0.0824051877235843	-0.301470378931947	-0.0263515714657966	0.451516091221213	-0.0824659401420825
TCGA-62-A46O-01	0.200769528024081	0.152514344253786	-0.0212647961425986	0.109819853877114	0.391239011467407	0.0198960954320607	-0.026913854302336	0.266338876102133	0.00135099823736627	-0.144132466554768	0.0361360656652179	-0.133916338209963	-0.381488128837229	-0.350326557537262	-0.0604250627721741	0.105542385144035	0.128253287479156	0.0355827925800206	0.237183366335513	0.0195196957148509	0.439569206587238	0.263311924755709	0.207267444622389	-0.0405161545002256	-0.311350353744228	-0.0181360350061004	0.374499332136368	-0.190963085444885
TCGA-62-A46P-01	0.210898656305081	0.123953947351138	0.0312662720618274	0.0204603385738575	0.445876758484193	0.0416483084038889	0.0565446866330817	0.32875962346713	0.0263882219814303	0.0383090801070679	-0.0521073558872321	0.00225481350177816	-0.276506258357805	-0.402301643108757	-0.0773616230643068	0.0791700181389118	0.0446139511836009	0.0566231967212764	0.316807251056514	0.014287609392799	0.351793205024766	0.356672262235993	0.299608944768778	0.0443346648119993	-0.33910757632071	0.0306022425060317	0.427605723006743	0.0651137399974154
